"","HEV07","HEV10","HEV11","HEV12","HEV13","HEV14","HEV15","HEV16","HEV17","HEV18","HEV20","HEV21","HEV22","HEV23","HEV24","HEV25","HEV26","HEV27","HEV29"
"Zotu4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu148",34442,35050,35499,37654,35394,35286,36530,37640,34636,37430,37068,37946,38473,42042,35342,37358,36152,35344,39244
"Zotu1",15184,19390,19601,14866,18907,17199,18381,17252,17821,17416,17772,16583,16288,13051,18524,16964,18659,19378,15561
"Zotu7",5391,147,0,50,2,0,122,0,25,37,23,327,0,26,179,68,122,0,20
"Zotu84",80,81,69,69,110,65,96,85,94,96,93,66,67,62,81,75,94,75,65
"Zotu36",0,0,0,0,0,0,57,0,1,0,0,3,0,0,0,6,0,0,3
"Zotu46",0,0,0,0,15,0,15,7,7,0,0,15,7,3,61,0,0,26,1
"Zotu30",1,5,1,0,1,1,2,0,2,1,0,0,1,1,1,0,1,3,2
"Zotu111",0,0,0,0,0,0,1,0,0,23,0,0,0,0,10,0,0,0,0
"Zotu39",0,2,0,122,2,9,1,0,19,1,0,0,0,0,0,0,2,1,1
"Zotu48",0,0,1,0,19,35,0,38,5,0,0,0,0,0,0,0,0,133,2
"Zotu29",0,0,0,0,11,9,0,126,1,0,42,0,0,0,49,0,0,73,0
"Zotu63",0,0,0,0,0,30,0,28,0,0,0,45,12,0,0,0,3,0,0
"Zotu19",3,28,8,13,98,0,0,26,10,10,11,87,0,0,0,0,6,90,3
"Zotu82",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,0,0,47
"Zotu65",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0
"Zotu9",38,200,17,1275,50,243,0,0,583,0,0,27,55,5,4,1,14,3,3
"Zotu14",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Zotu10",49,211,0,0,556,861,0,0,1072,1,1,0,147,0,0,0,71,0,30
"Zotu15",1,80,0,0,0,333,0,0,635,0,0,1,79,0,1,0,0,0,0
"Zotu21",0,2,0,0,0,2,0,0,2,0,0,0,0,1,0,0,1,0,0
"Zotu18",0,0,0,307,19,38,0,0,163,0,0,0,0,0,0,0,0,0,0
"Zotu32",0,5,0,90,3,9,0,0,37,0,0,0,4,1,0,1,1,0,3
"Zotu92",0,0,9,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0
"Zotu97",0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
"Zotu132",0,0,0,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
"Zotu59",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"Zotu166",0,0,0,0,12,0,0,0,8,0,0,0,0,0,0,0,0,0,0
"Zotu8",0,0,0,0,0,0,0,0,4,2,0,0,0,0,940,499,12,14,47
"Zotu86",0,0,0,3,5,6,0,0,4,0,0,0,0,0,0,0,0,0,43
"Zotu33",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Zotu80",0,0,0,40,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Zotu53",0,0,0,209,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0
"Zotu17",0,0,0,0,0,0,0,0,0,61,97,0,0,0,0,0,0,51,0
"Zotu5",0,0,0,0,0,915,0,0,0,40,0,0,0,0,0,0,0,0,0
"Zotu103",0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0
"Zotu134",0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
"Zotu94",0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0
"Zotu120",0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0
"Zotu129",0,0,0,3,0,9,0,0,0,1,0,2,0,0,0,1,0,13,0
"Zotu43",0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0
"Zotu60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu168",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu155",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu47",0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,1,0
"Zotu28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu76",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu156",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu192",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu153",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"Zotu184",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu75",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu131",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu116",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu37",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu77",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu121",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu181",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Zotu6",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Zotu119",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu83",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu123",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu167",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu24",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu44",0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,168,0,0,0
"Zotu140",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu191",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu41",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu56",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu138",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu182",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu194",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu159",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu127",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu157",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu95",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu147",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu107",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu160",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu152",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu98",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu122",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu89",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu130",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu70",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu108",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu186",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu141",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu110",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu163",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu188",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu87",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu178",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu81",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu126",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu142",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu158",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu177",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu185",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu106",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu55",0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0
"Zotu162",0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
"Zotu73",0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,3
"Zotu125",0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0
"Zotu128",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18
"Zotu150",0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
"Zotu179",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Zotu169",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
"Zotu16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
"Zotu139",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0
"Zotu170",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0
"Zotu187",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,7
"Zotu40",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu57",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu115",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu189",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"Zotu151",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu195",0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu61",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu68",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu104",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu171",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu144",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu102",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu62",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu196",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu135",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu66",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu67",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu136",0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu175",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu183",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu137",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu124",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu193",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu118",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu58",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu85",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu176",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu35",0,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu23",0,0,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu71",0,0,0,19,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu72",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
"Zotu164",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu93",0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu112",0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
"Zotu96",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
"Zotu146",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu117",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu99",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu174",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu49",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu78",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu165",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu145",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu154",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
