#OTU ID	CL1	CL4	HEV15S51	HEV16S45	HEV17S39	HEV18S46	HEV20S27	HEV87S30	HEV88S31	HEV90S12	HEV91S13	HEV92S14	HEV93S15	HEV94S16	HEV95S17	HEV96S18	HEV97S19	HEV100S22	HEV101S23	HEV102S1	HEV103S2	HEV104S3	HEV105S4	HEV106S5	HEV107S6	HEV21S52	HEV22S53	HEV23S48	HEV24S41	HEV25S42	HEV67S56	HEV68S57	HEV70S58	HEV71S59	HEV74S60	HEV89S32	HEV98S20	HEV99S21	HEV07S47	NEGS11	HEV108S7	HEV109S8	HEV10S37	HEV110S9	HEV111S10	HEV11S38	HEV12S44	HEV13S49	HEV14S50	HEV26S43	HEV27S29	HEV29S28	HEV65S54	HEV66S55	HEV76S35	HEV79S33	HEV81S36	HEV82S40	HEV83S34	QC1S26
Zotu15	0	0	0	0	1167	0	0	0	23	2	2	0	0	0	0	0	171	0	0	1	12	4	14	0	9	1	140	1	1	1	0	0	0	0	0	0	0	14	1	0	0	0	81	0	361	0	0	0	333	0	0	0	0	0	1	0	0	0	0	0
Zotu21	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0
Zotu18	0	0	0	0	265	0	0	13	0	0	36	0	0	1	0	0	14	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	76	0	515	20	38	0	0	0	0	1	0	0	0	0	11	0
Zotu32	0	0	0	0	64	0	0	0	1	3	31	0	3	7	4	2	40	0	24	0	0	3	2	7	2	1	6	4	0	1	0	0	0	0	0	0	25	4	1	0	0	44	5	5	54	0	160	3	9	3	0	3	0	0	0	0	2	1	15	0
Zotu92	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	6	0	0	0
Zotu97	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu132	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu59	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Zotu166	0	0	0	0	12	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0
Zotu8	0	0	0	0	6	5	0	0	4590	0	9	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	1305	675	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	25	16	72	0	0	0	0	0	0	0	0
