Query ID,ID,Level,Kingdom,Phylum,Class,Order,Family,Genus,Species
Zotu3,Oxya,Genus,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Oxya,
Zotu10,Oxya,Genus,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Oxya,
Zotu19,Oxya,Genus,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Oxya,
Zotu77,Anchiphiloscia pilosa,Species,Animalia,Arthropoda,Malacostraca,Isopoda,Philosciidae,Anchiphiloscia,Anchiphiloscia pilosa
Zotu2,Anisolabis maritima,Species,Animalia,Arthropoda,Insecta,Dermaptera,Anisolabididae,Anisolabis,Anisolabis maritima
Zotu70,Aspergillus niger,Species,Fungi,,Eurotiomycetes,Eurotiales,Trichocomaceae,Aspergillus,Aspergillus niger
Zotu17,Conoderus pallipes,Species,Animalia,Arthropoda,Insecta,Coleoptera,Elateridae,Conoderus,Conoderus pallipes
Zotu27,Diploptera punctata,Species,Animalia,Arthropoda,Insecta,Blattodea,Blaberidae,Diploptera,Diploptera punctata
Zotu48,Fusarium babinda,Species,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium babinda
Zotu81,Fusarium cf. avenaceum,Species,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium cf. avenaceum
Zotu6,Hasarius adansoni,Species,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Hasarius,Hasarius adansoni
Zotu49,Limonia perkinsi,Species,Animalia,Arthropoda,Insecta,Diptera,Tipulidae,Limonia,Limonia perkinsi
Zotu58,Neurospora crassa,Species,Fungi,Ascomycota,Sordariomycetes,Sordariales,Sordariaceae,Neurospora,Neurospora crassa
Zotu45,Ornebius novarae,Species,Animalia,Arthropoda,Insecta,Orthoptera,Mogoplistidae,Ornebius,Ornebius novarae
Zotu55,Ornebius novarae,Species,Animalia,Arthropoda,Insecta,Orthoptera,Mogoplistidae,Ornebius,Ornebius novarae
Zotu87,Ornebius novarae,Species,Animalia,Arthropoda,Insecta,Orthoptera,Mogoplistidae,Ornebius,Ornebius novarae
Zotu67,Pantala flavescens,Species,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Pantala,Pantala flavescens
Zotu97,Pantala flavescens,Species,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Pantala,Pantala flavescens
Zotu20,Penicillium citrinum,Species,Fungi,,Eurotiomycetes,Eurotiales,Trichocomaceae,Penicillium,Penicillium citrinum
Zotu5,Periplaneta australasiae,Species,Animalia,Arthropoda,Insecta,Blattodea,Blattidae,Periplaneta,Periplaneta australasiae
Zotu63,Periplaneta australasiae,Species,Animalia,Arthropoda,Insecta,Blattodea,Blattidae,Periplaneta,Periplaneta australasiae
Zotu25,Phisis holdhausi,Species,Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,Phisis,Phisis holdhausi
Zotu31,Phisis holdhausi,Species,Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,Phisis,Phisis holdhausi
Zotu51,Phisis holdhausi,Species,Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,Phisis,Phisis holdhausi
Zotu74,Phytophthora nicotianae,Species,Fungi,Heterokontophyta,Oomycota,Peronosporales,Peronosporaceae,Phytophthora,Phytophthora nicotianae
Zotu8,Pycnoscelus sp. B103,Genus,Animalia,Arthropoda,Insecta,Blattodea,Blaberidae,Pycnoscelus,
Zotu11,Pycnoscelus surinamensis,Species,Animalia,Arthropoda,Insecta,Blattodea,Blaberidae,Pycnoscelus,Pycnoscelus surinamensis
Zotu28,Pycnoscelus surinamensis,Species,Animalia,Arthropoda,Insecta,Blattodea,Blaberidae,Pycnoscelus,Pycnoscelus surinamensis
Zotu107,Pycnoscelus surinamensis,Species,Animalia,Arthropoda,Insecta,Blattodea,Blaberidae,Pycnoscelus,Pycnoscelus surinamensis
Zotu98,Saccharomyces cerevisiae YJM1527,Species,Fungi,,Saccharomycetes,Saccharomycetales,Saccharaomycetaceae,Saccharomyces,Saccharomyces cerevisiae
Zotu1,Scholastes lonchifer,Species,Animalia,Arthropoda,Insecta,Diptera,Platystomatidae,Scholastes,Scholastes lonchifer
