"","HEV65","HEV66","HEV67","HEV68","HEV70","HEV71","HEV74","HEV76","HEV79","HEV81","HEV82","HEV83","HEV87","HEV88","HEV89","HEV101","HEV102","HEV103","HEV104","HEV105","HEV106","HEV107","HEV108","HEV109","HEV110","HEV111","HEV90","HEV91","HEV92","HEV93","HEV94","HEV95","HEV96","HEV97","HEV98","HEV99","HEV100"
"Zotu5",0,0,0,0,22,0,0,0,0,0,0,0,0,1,0,3,1,1,21196,0,2,1,54115,1,2,2,0,1,0,0,1,2,793,1,3,1,659
"Zotu103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu134",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu94",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu120",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu129",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu60",68,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu168",0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu25",0,0,0,0,0,0,0,88,0,0,0,0,58,0,0,213,2,6,8,0,0,1,186,0,0,0,0,0,0,0,0,0,543,0,422,0,9
"Zotu155",0,0,8,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu47",0,0,0,0,0,0,0,0,0,0,0,101,3,0,0,0,0,0,0,0,0,0,0,209,0,4,0,103,0,1,12,32,0,13,76,6,0
"Zotu28",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,15,0,7,0,0
"Zotu12",0,0,0,0,0,0,0,0,0,0,0,0,0,2606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu76",0,0,0,0,0,0,0,0,0,0,0,46,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu156",0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu192",0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu105",0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu153",0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu113",0,0,0,0,0,0,17,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu184",0,0,0,0,11,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0
"Zotu75",0,0,0,0,0,0,0,0,0,0,0,13,0,18,0,0,0,0,0,0,0,1,0,241,0,0,0,0,0,0,1,0,0,17,0,0,0
"Zotu131",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu116",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0
"Zotu37",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0
"Zotu77",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,9,19,3,0,12,0,13,2,1,9,0,12,75,8,8,0,0,0,0
"Zotu121",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,8,12,8,32,0,49,17,2,3,0,10,18,4,15,0,0,0,0
"Zotu181",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,6,0,0,0
"Zotu6",0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,1,0,13441,26,1,333,1044,2,0,0,6
"Zotu119",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0
"Zotu83",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0
"Zotu123",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0
"Zotu167",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0
"Zotu24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,346,0,5,0,0,2,0,0,0,0,0,0
