ASV,ID,Category
ASV_35,Chitinophagaceae,non-diet
ASV_42,Arachidicoccus sp. BS20,non-diet
ASV_30,Myroides,non-diet
ASV_29,Eukaryota,unknown
ASV_6,Acanthamoeba,non-diet
ASV_25,Diderma,non-diet
ASV_51,Physarum polycephalum,non-diet
ASV_37,Opisthokonta,unknown
ASV_3,Hortaea thailandica,non-diet
ASV_2,Dothideales,non-diet
ASV_10,Albatrellus,non-diet
ASV_19,Cortinarius cf. violaceus TRTC155606,non-diet
ASV_1,Tremellales,non-diet
ASV_4,Rhodymeniophycidae,non-diet
