"","ASV","ID_bold","Order_bold","ID_ncbi","Order_ncbi","ID_nondiet","taxonomy"
"1","ASV_1","Scholastes lonchifer","Diptera","Scholastes lonchifer","Diptera",NA,"prey"
"2","ASV_2","Anisolabis maritima","Dermaptera","Anisolabis","Dermaptera",NA,"prey"
"3","ASV_3",NA,NA,"Acrididae","Orthoptera",NA,"prey"
"4","ASV_4",NA,NA,NA,NA,"Hypocreales","non-diet"
"5","ASV_5",NA,NA,NA,NA,"leotiomyceta","non-diet"
"6","ASV_6","Hasarius adansoni","Araneae","Hasarius adansoni","Araneae",NA,"prey"
"7","ASV_7","Pycnoscelus sp. B103","Blattodea","Blattodea","Blattodea",NA,"prey"
"8","ASV_8",NA,NA,NA,NA,"Hypocreomycetidae","non-diet"
"9","ASV_9","Periplaneta australasiae","Blattodea","Periplaneta","Blattodea",NA,"prey"
"10","ASV_10",NA,NA,"Acrididae","Orthoptera",NA,"prey"
"11","ASV_11","Pycnoscelus surinamensis","Blattodea","Blattodea","Blattodea",NA,"prey"
"12","ASV_12",NA,NA,"unclassified Ectobiidae","Blattodea",NA,"prey"
"13","ASV_13",NA,NA,"Araneae","Araneae",NA,"prey"
"14","ASV_14",NA,NA,"Neoptera","",NA,"prey"
"15","ASV_15",NA,NA,"Neoptera","",NA,"prey"
"16","ASV_16",NA,NA,"Blattodea","Blattodea",NA,"prey"
"17","ASV_17",NA,NA,NA,NA,"Hypocreomycetidae","non-diet"
"18","ASV_18",NA,NA,"Acrididae","Orthoptera",NA,"prey"
"19","ASV_19","Conoderus pallipes","Coleoptera","Conoderus pallipes","Coleoptera",NA,"prey"
"20","ASV_20",NA,NA,NA,NA,"Arthrocladium","non-diet"
"21","ASV_21","Penicillium citrinum","Eurotiales",NA,NA,"leotiomyceta","non-diet"
"22","ASV_22",NA,NA,NA,NA,"leotiomyceta","non-diet"
"23","ASV_23",NA,NA,NA,NA,"leotiomyceta","non-diet"
"24","ASV_24",NA,NA,NA,NA,"Aspergillus","non-diet"
"25","ASV_25","Pycnoscelus surinamensis","Blattodea","Blattodea","Blattodea",NA,"prey"
"26","ASV_26",NA,NA,"Acrididae","Orthoptera",NA,"prey"
"27","ASV_27","Diploptera punctata","Blattodea","Diploptera punctata","Blattodea",NA,"prey"
"28","ASV_28",NA,NA,NA,NA,"Lichtheimia ramosa","non-diet"
"29","ASV_29",NA,NA,"Neoptera","",NA,"prey"
"30","ASV_30",NA,NA,"Neoptera","",NA,"prey"
"31","ASV_31",NA,NA,NA,NA,"Podosphaera xanthii","non-diet"
"32","ASV_32",NA,NA,NA,NA,"leotiomyceta","non-diet"
"33","ASV_33",NA,NA,NA,NA,"Sordariomycetes","non-diet"
"34","ASV_34",NA,NA,NA,NA,"Saccharomycetales","non-diet"
"35","ASV_35",NA,NA,NA,NA,"Aspergillus","non-diet"
"36","ASV_36","Scholastes lonchifer","Diptera","Scholastes lonchifer","Diptera",NA,"prey"
"37","ASV_37",NA,NA,"Neoptera","",NA,"prey"
"38","ASV_38",NA,NA,NA,NA,"Cercospora sojina","non-diet"
"39","ASV_39",NA,NA,NA,NA,"leotiomyceta","non-diet"
"40","ASV_40",NA,NA,NA,NA,"Ascomycota","non-diet"
"41","ASV_41",NA,NA,NA,NA,"Sydowia","non-diet"
"42","ASV_42",NA,NA,NA,NA,"Aspergillus","non-diet"
"43","ASV_43","Ornebius novarae","Orthoptera","Ornebius novarae","Orthoptera",NA,"prey"
"44","ASV_44","Phisis holdhausi","Orthoptera","Orthoptera","Orthoptera",NA,"prey"
"45","ASV_45",NA,NA,"Sparassidae","Araneae",NA,"predator"
"46","ASV_46",NA,NA,NA,NA,"Sporisorium scitamineum","non-diet"
"47","ASV_47","Ornebius novarae","Orthoptera","Ornebius novarae","Orthoptera",NA,"prey"
"48","ASV_48",NA,NA,NA,NA,"leotiomyceta","non-diet"
"49","ASV_49",NA,NA,NA,NA,"Sordariomycetes","non-diet"
"50","ASV_50",NA,NA,"Acrididae","Orthoptera",NA,"prey"
"51","ASV_51","Neurospora crassa","Sordariales",NA,NA,"Neurospora crassa OR74A","non-diet"
"52","ASV_52",NA,NA,NA,NA,"Arthrocladium","non-diet"
"53","ASV_53",NA,NA,NA,NA,"Acremonium","non-diet"
"54","ASV_54",NA,NA,NA,NA,"Cladophialophora","non-diet"
"55","ASV_55",NA,NA,NA,NA,"Ascomycota","non-diet"
"56","ASV_56","Periplaneta australasiae","Blattodea","Periplaneta","Blattodea",NA,"prey"
"57","ASV_57",NA,NA,"Neoptera","",NA,"prey"
"58","ASV_58",NA,NA,"Blattodea","Blattodea",NA,"prey"
"59","ASV_59","Limonia perkinsi","Diptera","unclassified Limoniidae","Diptera",NA,"prey"
"60","ASV_60","Pantala flavescens","Odonata","Pantala flavescens","Odonata",NA,"prey"
"61","ASV_61",NA,NA,NA,NA,"Leohumicola","non-diet"
"62","ASV_62",NA,NA,"Araneomorphae","Araneae",NA,"prey"
"63","ASV_63",NA,NA,NA,NA,"Synchaetomella acerina","non-diet"
"64","ASV_64",NA,NA,NA,NA,"Leohumicola","non-diet"
"65","ASV_65",NA,NA,"Blattodea","Blattodea",NA,"prey"
"66","ASV_66",NA,NA,"Tygarrup javanicus","Geophilomorpha",NA,"prey"
"67","ASV_67","Anchiphiloscia pilosa","Isopoda","Anchiphiloscia pilosa","Isopoda",NA,"prey"
"68","ASV_68",NA,NA,"Orthocladiinae","Diptera",NA,"prey"
"69","ASV_69","Phytophthora nicotianae","Peronosporales",NA,NA,"Phytophthora","non-diet"
"70","ASV_70",NA,NA,"Nematocera","Diptera",NA,"prey"
"71","ASV_71","Aspergillus niger","Eurotiales",NA,NA,"Aspergillus","non-diet"
"72","ASV_72",NA,NA,NA,NA,"Ascomycota","non-diet"
"73","ASV_73",NA,NA,"Blattodea","Blattodea",NA,"prey"
"74","ASV_74",NA,NA,NA,NA,"Ascomycota","non-diet"
"75","ASV_75",NA,NA,NA,NA,"Ascomycota","non-diet"
"76","ASV_76",NA,NA,"unclassified Ectobiidae","Blattodea",NA,"prey"
"77","ASV_77",NA,NA,NA,NA,"Hypocreales","non-diet"
"78","ASV_78",NA,NA,NA,NA,"Beauveria","non-diet"
"79","ASV_79",NA,NA,NA,NA,"Sydowia","non-diet"
"80","ASV_80",NA,NA,NA,NA,"Beauveria","non-diet"
"81","ASV_81",NA,NA,"Bdelloidea","",NA,"non-diet"
"82","ASV_82",NA,NA,NA,NA,"Pleosporineae","non-diet"
"83","ASV_83",NA,NA,"Scholastes lonchifer","Diptera",NA,"prey"
"84","ASV_84",NA,NA,NA,NA,"Cordycipitaceae","non-diet"
"85","ASV_85",NA,NA,NA,NA,"Agaricomycetes","non-diet"
"86","ASV_86",NA,NA,NA,NA,"Arthrocladium","non-diet"
"87","ASV_87",NA,NA,NA,NA,"Pythiopsis","non-diet"
"88","ASV_88",NA,NA,"Buthus mariefranceae","Scorpiones",NA,"prey"
"89","ASV_89",NA,NA,"Neoptera","",NA,"prey"
"90","ASV_90","Saccharomyces cerevisiae YJM1527","Saccharomycetales",NA,NA,"Saccharomyces cerevisiae","non-diet"
"91","ASV_91",NA,NA,NA,NA,"Penicillium sclerotiorum","non-diet"
"92","ASV_92","Erechthias simulans","Lepidoptera","Lepidoptera","Lepidoptera",NA,"prey"
"93","ASV_93",NA,NA,NA,NA,"Agaricomycetes","non-diet"
"94","ASV_94","Pycnoscelus surinamensis","Blattodea","Blattodea","Blattodea",NA,"prey"
"95","ASV_95",NA,NA,NA,NA,"Philodina","non-diet"
"96","ASV_96","Phisis holdhausi","Orthoptera","Orthoptera","Orthoptera",NA,"prey"
"97","ASV_97",NA,NA,NA,NA,"Torulaspora","non-diet"
"98","ASV_98",NA,NA,NA,NA,"Leotiomycetes","non-diet"
"99","ASV_99",NA,NA,"Acrididae","Orthoptera",NA,"prey"
"100","ASV_100",NA,NA,"Hemiptera sp. BIOUG03439-H02","Hemiptera",NA,"prey"
"101","ASV_101","Ornebius novarae","Orthoptera","Ornebius novarae","Orthoptera",NA,"prey"
"102","ASV_102",NA,NA,NA,NA,"Sordariomycetes","non-diet"
"103","ASV_103",NA,NA,NA,NA,"Aspergillus","non-diet"
"104","ASV_104","Linepithema humile","Hymenoptera","Linepithema humile","Hymenoptera",NA,"prey"
"105","ASV_105",NA,NA,NA,NA,"Ascomycota","non-diet"
"106","ASV_106",NA,NA,NA,NA,"Agaricomycetidae","non-diet"
"107","ASV_107","Pycnoscelus surinamensis","Blattodea","Blattodea","Blattodea",NA,"prey"
"108","ASV_108",NA,NA,"Littorophiloscia bifasciata","Isopoda",NA,"prey"
"109","ASV_109",NA,NA,NA,NA,"Ascomycota","non-diet"
"110","ASV_110",NA,NA,NA,NA,"Oomycetes","non-diet"
"111","ASV_111",NA,NA,NA,NA,"leotiomyceta","non-diet"
"112","ASV_112",NA,NA,"Suidasia","Sarcoptiformes",NA,"prey"
"113","ASV_113",NA,NA,"unclassified Hemiptera","Hemiptera",NA,"prey"
"114","ASV_114",NA,NA,"Hasarius adansoni","Araneae",NA,"prey"
"115","ASV_115",NA,NA,"Cytaea cf. sinuata JXZ-2013","Araneae",NA,"prey"
"116","ASV_116",NA,NA,NA,NA,"Arthrocladium","non-diet"
"117","ASV_117",NA,NA,NA,NA,"Hypocreales","non-diet"
