"","ASV","ID_bold","Order_bold","ID_ncbi","Order_ncbi","ID_nondiet","taxonomy"
"118","ASV_118",NA,NA,NA,NA,"Dasybrancus","non-diet"
"119","ASV_119",NA,NA,NA,NA,"Epichloe","non-diet"
"120","ASV_120",NA,NA,NA,NA,"Aspergillus","non-diet"
"121","ASV_121",NA,NA,NA,NA,"sordariomyceta","non-diet"
"122","ASV_122",NA,NA,NA,NA,"Pleosporales","non-diet"
"123","ASV_123",NA,NA,"Chromadorea","",NA,"non-diet"
"124","ASV_124",NA,NA,NA,NA,"Dasybrancus","non-diet"
"125","ASV_125",NA,NA,NA,NA,"Hemiptera","prey"
"126","ASV_126",NA,NA,NA,NA,"Hypocreales","non-diet"
"127","ASV_127",NA,NA,"unclassified Hemiptera","Hemiptera",NA,"prey"
"128","ASV_128",NA,NA,NA,NA,"leotiomyceta","non-diet"
"129","ASV_129",NA,NA,NA,NA,"Calonectria","non-diet"
"130","ASV_130",NA,NA,"Neoptera","",NA,"prey"
"131","ASV_131",NA,NA,NA,NA,"Aspergillus","non-diet"
"132","ASV_132",NA,NA,NA,NA,"leotiomyceta","non-diet"
"133","ASV_133",NA,NA,"Periplaneta","Blattodea",NA,"prey"
"134","ASV_134",NA,NA,NA,NA,"leotiomyceta","non-diet"
"135","ASV_135",NA,NA,NA,NA,"Ascomycota","non-diet"
"136","ASV_136","Cochliopodium sp.","Himatismenida",NA,NA,"Cochliopodium sp. SG-2014","non-diet"
"137","ASV_137",NA,NA,NA,NA,"leotiomyceta","non-diet"
"138","ASV_138",NA,NA,NA,NA,"Quadrulella","non-diet"
