ASV,ID,Category,Level,Kingdom,Phylum,Class,Order,Family,Genus,Species,BLAST_ID,BLAST_Category,BLAST_Level,BLAST_Kingdom,BLAST_Phylum,BLAST_Class,BLAST_Order,BLAST_Family,BLAST_Genus,BLAST_Species
Zotu35,Acanthamoeba,non-diet,Genus,,,,Longamoebia,Acanthamoebidae,Acanthamoeba,,,,,,,,,,,
Zotu100,Acremonium,non-diet,,,,,,,,,Opisthokonta,unknown,higher,,,,,,,
Zotu158,Agaricomycetes,non-diet,,Fungi,,,,,,,,,,,,,,,,
Zotu181,Agaricomycetes,non-diet,,Fungi,,,,,,,,,,,,,,,,
Zotu56,Albatrellus,non-diet,,Fungi,,,,,,,,,,,,,,,,
Zotu31,Arthrocladium,non-diet,,,,,,,,,Opisthokonta,unknown,,,,,,,,
Zotu92,Arthrocladium,non-diet,,,,,,,,,Opisthokonta,unknown,higher,,,,,,,
Zotu172,Arthrocladium,non-diet,,,,,,,,,Opisthokonta,unknown,higher,,,,,,,
Zotu102,Ascomycota,non-diet,Phylum,Fungi,Ascomycota,,,,,,,,,,,,,,,
Zotu113,Ascomycota,non-diet,Phylum,Fungi,Ascomycota,,,,,,,,,,,,,,,
Zotu128,Ascomycota,non-diet,Phylum,Fungi,Ascomycota,,,,,,,,,,,,,,,
Zotu170,Ascomycota,non-diet,Phylum,Fungi,Ascomycota,,,,,,,,,,,,,,,
Zotu178,Ascomycota,non-diet,Phylum,Fungi,Ascomycota,,,,,,,,,,,,,,,
Zotu182,Ascomycota,non-diet,Phylum,Fungi,Ascomycota,,,,,,,,,,,,,,,
Zotu82,Ascomycota,non-diet,Phylum,Fungi,Ascomycota,,,,,,,,,,,,,,,
Zotu119,Aspergillus,non-diet,,Fungi,,,,,,,,,,,,,,,,
Zotu143,Aspergillus,non-diet,,,,,,,,,Opisthokonta,unknown,higher,,,,,,,
Zotu163,Aspergillus,non-diet,,,,,,,,,Opisthokonta,unknown,higher,,,,,,,
Zotu48,Aspergillus,non-diet,,,,,,,,,Opisthokonta,unknown,higher,,,,,,,
Zotu79,Aspergillus,non-diet,,,,,,,,,Opisthokonta,unknown,higher,,,,,,,
Zotu153,Bdelloidea,non-diet,Class,,Rotifera,Bdelloidea,,,,,,,,,,,,,,
Zotu141,Beauveria,non-diet,,,,,,,,,Opisthokonta,unknown,higher,,,,,,,
Zotu169,Beauveria,non-diet,,,,,,,,,Opisthokonta,unknown,higher,,,,,,,
Zotu71,Cercospora sojina,non-diet,,Fungi,,,,,,,,,,,,,,,,
Zotu97,Cladophialophora,non-diet,,,,,,,,,Opisthokonta,unknown,higher,,,,,,,
Zotu192,Clavicipitaceae,non-diet,,Fungi,,,,,,,,,,,,,,,,
Zotu130,Cordycipitaceae,non-diet,,Fungi,,,,,,,,,,,,,,,,
Zotu138,Cortinarius cf. violaceus TRTC155606,non-diet,,Fungi,,,,,,,,,,,,,,,,
Zotu101,Diderma,non-diet,Genus,,,,Physariida,Didymiaceae,Diderma,,,,,,,,,,,
Zotu4,Dothideales,non-diet,,Fungi,,,,,,,,,,,,,,,,
Zotu135,Fusarium,non-diet,,Fungi,,,,,,,,,,,,,,,,
Zotu85,Fusarium,non-diet,,Fungi,,,,,,,,,,,,,,,,
Zotu136,Homo sapiens,non-diet,Species,Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,,,,,,,,,,
Zotu155,Homo sapiens,non-diet,Species,Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,,,,,,,,,,
Zotu164,Homo sapiens,non-diet,Species,Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,,,,,,,,,,
Zotu189,Homo sapiens,non-diet,Species,Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,,,,,,,,,,
Zotu3,Hortaea thailandica,non-diet,,Fungi,,,,,,,,,,,,,,,,
Zotu107,Hydra,non-diet,,,,,,,,,Eukaryota,unknown,higher,,,,,,,
Zotu146,Hypocreales,non-diet,,Fungi,,,,,,,,,,,,,,,,
Zotu8,Hypocreales,non-diet,,Fungi,,,,,,,,,,,,,,,,
Zotu16,Hypocreomycetidae,non-diet,,Fungi,,,,,,,,,,,,,,,,
Zotu26,Hypocreomycetidae,non-diet,,Fungi,,,,,,,,,,,,,,,,
Zotu112,Leohumicola,non-diet,,,,,,,,,Opisthokonta,unknown,higher,,,,,,,
Zotu144,Leohumicola,non-diet,,,,,,,,,Opisthokonta,unknown,higher,,,,,,,
Zotu12,leotiomyceta,non-diet,,Fungi,Ascomycota,,,,,,,,,,,,,,,
Zotu123,leotiomyceta,non-diet,,Fungi,Ascomycota,,,,,,,,,,,,,,,
Zotu36,leotiomyceta,non-diet,,Fungi,Ascomycota,,,,,,,,,,,,,,,
Zotu38,leotiomyceta,non-diet,,Fungi,Ascomycota,,,,,,,,,,,,,,,
Zotu46,leotiomyceta,non-diet,,Fungi,Ascomycota,,,,,,,,,,,,,,,
Zotu65,leotiomyceta,non-diet,,Fungi,Ascomycota,,,,,,,,,,,,,,,
Zotu73,leotiomyceta,non-diet,,Fungi,Ascomycota,,,,,,,,,,,,,,,
Zotu89,leotiomyceta,non-diet,,Fungi,Ascomycota,,,,,,,,,,,,,,,
Zotu96,leotiomyceta,non-diet,,Fungi,Ascomycota,,,,,,,,,,,,,,,
Zotu160,Leotiomycetes,non-diet,,Fungi,,,,,,,,,,,,,,,,
Zotu49,Lichtheimia ramosa,non-diet,,Fungi,,,,,,,,,,,,,,,,
Zotu19,Mus musculus,non-diet,,,,,,,,,Bilateria,unknown,higher,,,,,,,
Zotu54,Mus musculus,non-diet,,,,,,,,,Bilateria,unknown,higher,,,,,,,
Zotu111,Neurospora crassa OR74A,non-diet,,Fungi,,,,,,,,,,,,,,,,
Zotu196,Oomycetes,non-diet,,,,Oomycetes,,,,,,,,,,,,,,
Zotu168,Penicillium sclerotiorum,non-diet,,Fungi,,,,,,,,,,,,,,,,
Zotu156,Philodina,non-diet,,,,,,,,,Eukaryota,unknown,higher,,,,,,,
Zotu122,Phytophthora,non-diet,,,,Oomycetes,,,,,,,,,,,,,,
Zotu187,Pleosporineae,non-diet,,Fungi,,,,,,,,,,,,,,,,
Zotu62,Podosphaera,non-diet,,,,,,,,,Opisthokonta,unknown,higher,,,,,,,
Zotu151,Pythiopsis,non-diet,,,,,,,,,Eukaryota,unknown,higher,,,,,,,
Zotu114,Rhodotorula mucilaginosa,non-diet,,Fungi,,,,,,,,,,,,,,,,
Zotu29,Rhodymeniophycidae,non-diet,,,Rhodophyta,Florideophyceae,,,,,,,,,,,,,,
Zotu57,Saccharomycetales,non-diet,,Fungi,,,,,,,,,,,,,,,,
Zotu193,Sordariomycetes,non-diet,,Fungi,,,,,,,,,,,,,,,,
Zotu58,Sordariomycetes,non-diet,,Fungi,,,,,,,,,,,,,,,,
Zotu90,Sordariomycetes,non-diet,,Fungi,,,,,,,,,,,,,,,,
Zotu72,Sporisorium scitamineum,non-diet,,Fungi,,,,,,,,,,,,,,,,
Zotu105,Sydowia,non-diet,,,,,,,,,Opisthokonta,unknown,higher,,,,,,,
Zotu190,Sydowia,non-diet,,,,,,,,,Opisthokonta,unknown,higher,,,,,,,
Zotu125,Synchaetomella acerina,non-diet,,Fungi,,,,,,,,,,,,,,,,
Zotu176,Torulaspora,non-diet,,Fungi,,,,,,,,,,,,,,,,
Zotu2,Tremellales,non-diet,,Fungi,,,,,,,,,,,,,,,,
Zotu18,Heteropoda venatoria,predator,Species,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,Heteropoda,Heteropoda venatoria,Araneae,prey,Order,Animalia,Arthropoda,Arachnida,Araneae,,,
Zotu1,Sparassidae,predator,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,,,,,,,,,,,
Zotu10,Sparassidae,predator,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,,,,,,,,,,,
Zotu133,Sparassidae,predator,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,,,,,,,,,,,
Zotu148,Sparassidae,predator,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,,,,,,,,,,,
Zotu15,Sparassidae,predator,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,,,,,,,,,,,
Zotu21,Sparassidae,predator,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,,,,,,,,,,,
Zotu27,Sparassidae,predator,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,,,,,,,,,,,
Zotu30,Sparassidae,predator,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,,,,,,,,,,,
Zotu32,Sparassidae,predator,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,,,,,,,,,,,
Zotu39,Sparassidae,predator,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,,,,,,,,,,,
Zotu40,Sparassidae,predator,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,,,,,,,,,,,
Zotu59,Sparassidae,predator,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,,,,,,,,,,,
Zotu64,Sparassidae,predator,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,,,,,,,,,,,
Zotu77,Sparassidae,predator,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,,,,,,,,,,,
Zotu84,Sparassidae,predator,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,,,,,,,,,,,
