Query ID,ID,Level,Kingdom,Phylum,Class,Order,Family,Genus,Species
Zotu16,Lepidodactylus lugubris,Species,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,Lepidodactylus,Lepidodactylus lugubris
Zotu4,Mus musculus,Species,Animalia,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus
Zotu14,Mus musculus,Species,Animalia,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus
Zotu74,Rhodotorula taiwanensis RS1,Species,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula taiwanensis RS1
